zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,preferred_bucket,candidate_fc_zip3_set,candidate_fc_name_set,candidate_count,cluster_id
115,0.002646597,Primary,NY,40.72620155,-73.62281814,0.0026465993316540115,303,758,GA-303,601-1000,303,GA-303,1,GA-303
116,0.000327445,Primary,NY,40.60472791,-73.81473256,0.00032744528847929914,303,745,GA-303,601-1000,303,GA-303,1,GA-303
117,0.00517303,Primary,NY,40.78807368,-73.30625937,0.0051730345574434455,303,774,GA-303,601-1000,303,GA-303,1,GA-303
118,0.000267363,Primary,NY,40.75869444,-73.53503889,0.00026736323554701056,303,763,GA-303,601-1000,303,GA-303,1,GA-303
119,0.001129535,Primary,NY,40.87343242,-72.71286301,0.0011295359951212119,303,803,GA-303,601-1000,303,GA-303,1,GA-303
120,0.001367859,Secondary,NY,42.75112857,-73.92861229,0.0013678602050848406,303,835,GA-303,601-1000,303,GA-303,1,GA-303
121,0.001070455,Secondary,NY,42.69234195,-73.84015671,0.001070455943071686,303,836,GA-303,601-1000,303,GA-303,1,GA-303
122,0.00071397,Secondary,NY,42.66180847,-73.76956911,0.0007139706290081242,303,837,GA-303,601-1000,303,GA-303,1,GA-303
123,0.00074301,Secondary,NY,42.78925236,-73.90415864,0.0007430106545923867,303,838,GA-303,601-1000,303,GA-303,1,GA-303
124,0.001159576,Primary,NY,42.03563672,-74.11526836,0.0011595770215873562,303,794,GA-303,601-1000,303,GA-303,1,GA-303
125,0.002408273,Primary,NY,41.69834209,-73.89105316,0.0024082751216903822,303,788,GA-303,601-1000,303,GA-303,1,GA-303
126,5.91e-05,Primary,NY,41.69560833,-73.9233869,5.9100052067145876e-05,303,786,GA-303,601-1000,303,GA-303,1,GA-303
127,0.000297404,Primary,NY,41.65489609,-74.71532109,0.00029740426201315485,303,754,GA-303,601-1000,303,GA-303,1,GA-303
128,0.000445606,Secondary,NY,43.31938779,-73.67786374,0.00044560639257923185,303,872,GA-303,601-1000,303,GA-303,1,GA-303
129,0.000624849,Secondary,NY,44.58697813,-73.8274599,0.000624849550492454,303,931,GA-303,601-1000,303,GA-303,1,GA-303
130,0.000803091,Secondary,NY,42.99775466,-76.20254689,0.0008030917075237944,303,771,GA-303,601-1000,303,GA-303,1,GA-303
131,0.000238324,Secondary,NY,43.06662667,-76.29617611,0.000238324209963629,303,772,GA-303,601-1000,303,GA-303,1,GA-303
132,0.0013979,Secondary,NY,43.05455039,-76.14863619,0.0013979012315509852,303,776,GA-303,601-1000,303,GA-303,1,GA-303
133,0.000297404,Secondary,NY,43.12366951,-75.23849512,0.00029740426201315485,303,808,GA-303,601-1000,303,GA-303,1,GA-303
134,0.000921252,Secondary,NY,43.10408259,-75.33231194,0.0009212528116237271,303,804,GA-303,601-1000,303,GA-303,1,GA-303
135,8.91e-05,Secondary,NY,43.10318462,-75.22635192,8.910007849716916e-05,303,808,GA-303,601-1000,303,GA-303,1,GA-303
136,0.001367859,Secondary,NY,44.2923,-75.55557203,0.0013678602050848406,303,862,GA-303,601-1000,303,GA-303,1,GA-303
137,0.000416566,Secondary,NY,42.20430511,-75.71403139,0.00041656636699496935,303,745,GA-303,601-1000,303,GA-303,1,GA-303
138,0.00071397,Secondary,NY,42.31484412,-75.62288235,0.0007139706290081242,303,754,GA-303,601-1000,303,GA-303,1,GA-303
139,0.000327445,Secondary,NY,42.10401583,-75.90619784,0.00032744528847929914,303,733,GA-303,601-1000,303,GA-303,1,GA-303
140,0.001129535,Secondary,NY,42.83957564,-78.68910897,0.0011295359951212119,303,693,GA-303,601-1000,303,GA-303,1,GA-303
141,0.001189617,Secondary,NY,42.89635879,-78.77738187,0.0011896180480535003,303,695,GA-303,601-1000,303,GA-303,1,GA-303
142,0.002853878,Secondary,NY,42.90586967,-78.84116078,0.002853880514268733,303,694,GA-303,601-1000,303,GA-303,1,GA-303
143,0.000267363,Secondary,NY,43.07818571,-79.01328036,0.00026736323554701056,303,700,GA-303,601-1000,303,GA-303,1,GA-303
144,0.001100496,Secondary,NY,43.01512782,-77.55959839,0.0011004969695378303,303,733,GA-303,601-1000,303,GA-303,1,GA-303
145,0.000921252,Secondary,NY,43.02661111,-77.4711828,0.0009212528116237271,303,736,GA-303,601-1000,303,GA-303,1,GA-303
146,0.002616556,Secondary,NY,43.15380025,-77.61061104,0.002616558305187867,303,739,GA-303,601-1000,303,GA-303,1,GA-303
147,0.000803091,Secondary,NY,42.19690941,-78.9368995,0.0008030917075237944,303,648,GA-303,601-1000,303,GA-303,1,GA-303
148,0.000803091,Secondary,NY,42.29343289,-76.99774497,0.0008030917075237944,303,708,GA-303,601-1000,303,GA-303,1,GA-303
149,0.000178242,Secondary,NY,42.09806724,-76.79182759,0.00017824215703134036,303,703,GA-303,601-1000,303,GA-303,1,GA-303
150,0.001040414,Secondary,PA,40.48827386,-80.06192407,0.0010404149166055416,303,517,GA-303,301-600,303,GA-303,1,GA-303
151,0.001576142,Secondary,PA,40.44208,-79.96457029,0.0015761433885823255,303,516,GA-303,301-600,303,GA-303,1,GA-303
152,0.002260071,Secondary,PA,40.44167781,-79.98308384,0.0022600729911243056,303,516,GA-303,301-600,303,GA-303,1,GA-303
153,0.000564768,Secondary,PA,40.12427185,-80.16128992,0.0005647684975610464,303,492,GA-303,301-600,303,GA-303,1,GA-303
154,0.000119162,Secondary,PA,39.95365,-79.74857363,0.0001191621049818145,303,493,GA-303,301-600,303,GA-303,1,GA-303
155,0.000267363,Secondary,PA,40.00922679,-78.83279464,0.00026736323554701056,303,524,GA-303,301-600,303,GA-303,1,GA-303
156,0.00071397,Secondary,PA,40.33140295,-79.58745574,0.0007139706290081242,303,520,GA-303,301-600,303,GA-303,1,GA-303
157,0.000119162,Secondary,PA,40.69903272,-79.0433963,0.0001191621049818145,303,557,GA-303,301-600,303,GA-303,1,GA-303
158,0.000148201,Secondary,PA,41.23524105,-78.77409789,0.00014820113056519604,303,595,GA-303,301-600,303,GA-303,1,GA-303
159,8.91e-05,Secondary,PA,40.35897235,-78.87375176,8.910007849716916e-05,303,542,GA-303,301-600,303,GA-303,1,GA-303
160,0.000862172,Secondary,PA,40.87177742,-79.92391659,0.0008621727595742013,303,543,GA-303,301-600,303,GA-303,1,GA-303
161,0.000416566,Secondary,PA,41.119136,-80.3581008,0.00041656636699496935,303,549,GA-303,301-600,303,GA-303,1,GA-303
162,0.000178242,Secondary,PA,41.0390295,-79.41189353,0.00017824215703134036,303,567,GA-303,301-600,303,GA-303,1,GA-303
163,8.91e-05,Secondary,PA,41.56453208,-79.65535409,8.910007849716916e-05,303,592,GA-303,301-600,303,GA-303,1,GA-303
164,0.000238324,Secondary,PA,41.88696429,-79.99716071,0.000238324209963629,303,605,GA-303,601-1000,303,GA-303,1,GA-303
