ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
875,1236,1706,276,470,373,708,901,280,1672,1073,1918,1289,1532,1757,557,740,1166
877,1235,1701,285,464,378,710,900,271,1673,1068,1913,1284,1529,1753,559,744,1160
878,1293,1806,160,537,293,654,889,406,1691,1177,2015,1390,1603,1849,583,735,1227
879,1274,1760,229,484,322,668,878,334,1695,1128,1971,1343,1576,1809,580,751,1178
880,1300,1785,226,474,296,642,855,346,1718,1153,1996,1368,1602,1835,605,772,1167
881,1261,1736,257,468,344,682,882,303,1690,1103,1948,1319,1559,1787,575,753,1164
882,1303,1779,248,454,300,638,845,328,1728,1146,1991,1362,1603,1831,613,785,1147
883,1290,1748,291,425,331,656,845,282,1728,1114,1962,1331,1583,1803,613,794,1120
884,1360,1789,357,340,309,598,766,271,1810,1154,2004,1372,1646,1851,696,881,1035
890,1752,2158,591,360,269,230,393,608,2183,1526,2377,1744,2037,2231,1070,1231,860
891,1748,2156,583,363,261,229,400,607,2178,1524,2375,1742,2034,2228,1064,1225,868
893,1750,2078,715,205,441,397,382,548,2226,1456,2299,1671,2010,2165,1114,1302,673
894,1964,2271,895,397,584,381,192,759,2438,1656,2493,1869,2221,2365,1326,1508,575
895,1994,2299,919,426,605,385,169,788,2467,1684,2521,1897,2250,2393,1354,1535,570
897,1994,2306,909,432,591,365,155,790,2464,1691,2529,1904,2253,2400,1350,1529,590
898,1786,2066,815,203,556,492,398,574,2282,1455,2289,1666,2031,2163,1179,1376,561
900,1942,2381,706,580,369,0,336,833,2339,1747,2598,1965,2239,2448,1237,1374,955
902,1944,2385,706,586,370,7,341,838,2339,1751,2602,1969,2242,2452,1239,1374,962
903,1945,2386,707,587,371,7,340,839,2341,1752,2603,1970,2243,2453,1240,1375,961
904,1950,2389,713,587,377,8,333,841,2347,1755,2606,1973,2247,2456,1245,1381,956
905,1945,2388,706,591,370,12,345,841,2340,1754,2605,1972,2244,2455,1240,1374,966
906,1928,2372,690,580,354,18,353,826,2323,1738,2589,1956,2227,2439,1223,1358,967
907,1938,2382,698,588,362,15,351,835,2332,1748,2599,1966,2237,2448,1232,1366,970
908,1937,2382,696,590,361,18,353,836,2331,1748,2599,1966,2237,2448,1231,1365,972
910,1930,2369,697,569,360,12,338,821,2329,1735,2587,1953,2228,2436,1227,1364,951
911,1932,2370,699,570,361,10,337,823,2331,1736,2588,1955,2230,2438,1229,1366,951
912,1939,2376,706,574,369,7,331,828,2338,1743,2594,1961,2236,2444,1236,1373,948
913,1955,2389,724,580,387,20,317,840,2356,1755,2607,1973,2252,2458,1253,1391,940
914,1948,2384,715,579,378,11,326,836,2347,1751,2602,1969,2245,2453,1245,1382,946
915,1942,2378,709,574,372,9,328,830,2341,1744,2596,1962,2239,2446,1239,1376,946
916,1946,2382,713,577,376,9,327,834,2345,1748,2600,1966,2243,2450,1243,1380,946
917,1917,2358,682,565,345,25,351,811,2314,1724,2575,1942,2215,2425,1212,1349,959
918,1932,2371,697,573,361,10,340,824,2330,1737,2589,1955,2230,2439,1228,1365,954
919,1886,2361,623,622,300,117,453,827,2261,1726,2576,1944,2193,2420,1171,1293,1060
920,1889,2357,632,606,304,96,432,819,2269,1722,2572,1940,2194,2417,1176,1302,1037
921,1892,2365,631,620,307,108,444,829,2268,1730,2580,1948,2199,2424,1178,1301,1053
922,1826,2288,580,546,246,126,441,750,2215,1653,2504,1871,2129,2349,1117,1249,1014
923,1882,2322,652,535,314,60,363,776,2282,1688,2540,1906,2179,2389,1179,1318,952
924,1886,2329,652,545,314,56,369,783,2283,1695,2546,1913,2184,2395,1181,1319,962
925,1886,2336,646,561,310,60,385,792,2280,1702,2553,1920,2187,2401,1180,1314,981
926,1919,2369,675,587,341,38,373,825,2310,1735,2586,1953,2220,2434,1211,1344,986
927,1921,2370,679,584,344,32,368,824,2313,1735,2587,1953,2221,2435,1214,1347,981
928,1920,2367,680,580,344,29,364,822,2314,1733,2584,1951,2220,2433,1214,1348,975
930,1986,2415,755,597,418,50,296,866,2387,1782,2634,2000,2281,2485,1284,1422,932
931,2016,2439,789,610,452,84,270,889,2420,1807,2658,2025,2310,2511,1316,1456,916
932,1980,2369,794,516,456,148,197,821,2407,1740,2590,1957,2263,2448,1295,1450,810
933,1970,2376,766,537,427,99,241,826,2387,1745,2595,1962,2258,2451,1278,1426,858
934,2057,2458,847,608,508,150,202,909,2472,1828,2678,2046,2345,2535,1364,1510,859
935,1925,2343,715,521,375,70,289,793,2338,1711,2562,1929,2217,2415,1230,1376,888
