ZIP3,Market,State
629,Secondary,IL
630,Primary,MO
631,Primary,MO
633,Primary,MO
634,Secondary,MO
635,Secondary,MO
636,Primary,MO
637,Primary,MO
638,Secondary,MO
639,Secondary,MO
640,Secondary,MO
641,Secondary,MO
644,Secondary,MO
645,Secondary,MO
646,Secondary,MO
647,Secondary,MO
648,Secondary,MO
650,Secondary,MO
651,Primary,MO
652,Secondary,MO
653,Secondary,MO
654,Primary,MO
655,Secondary,MO
656,Secondary,MO
657,Secondary,MO
658,Secondary,MO
660,Secondary,KS
661,Secondary,KS
662,Secondary,KS
664,Secondary,KS
665,Secondary,KS
666,Secondary,KS
667,Secondary,KS
668,Secondary,KS
669,Secondary,KS
670,Secondary,KS
671,Secondary,KS
672,Secondary,KS
673,Secondary,KS
674,Secondary,KS
675,Secondary,KS
676,Secondary,KS
677,Secondary,KS
678,Secondary,KS
679,Secondary,KS
680,Secondary,NE
681,Secondary,NE
683,Tertiary,NE
684,Tertiary,NE
685,Tertiary,NE
686,Tertiary,NE
687,Secondary,NE
688,Tertiary,NE
689,Tertiary,NE
690,Secondary,NE
691,Secondary,NE
692,Tertiary,NE
693,Secondary,NE
700,Tertiary,LA
701,Tertiary,LA
703,Secondary,LA
704,Tertiary,LA
705,Secondary,LA
706,Secondary,LA
707,Secondary,LA
708,Secondary,LA
710,Secondary,LA
711,Secondary,LA
712,Secondary,LA
713,Secondary,LA
714,Secondary,LA
716,Secondary,AR
717,Secondary,AR
718,Secondary,AR
719,Secondary,AR
720,Secondary,AR
721,Secondary,AR
722,Secondary,AR
723,Secondary,AR
724,Secondary,AR
725,Secondary,AR
726,Secondary,AR
727,Secondary,AR
728,Secondary,AR
729,Secondary,AR
730,Primary,OK
731,Primary,OK
734,Primary,OK
735,Primary,OK
736,Primary,OK
737,Primary,OK
738,Secondary,OK
739,Secondary,OK
740,Primary,OK
741,Primary,OK
743,Secondary,OK
744,Secondary,OK
745,Secondary,OK
746,Primary,OK
747,Secondary,OK
748,Primary,OK
749,Secondary,OK
750,Primary,TX
751,Primary,TX
752,Primary,TX
753,Primary,TX
754,Primary,TX
755,Secondary,TX
756,Secondary,TX
757,Primary,TX
758,Secondary,TX
759,Secondary,TX
760,Primary,TX
761,Primary,TX
762,Primary,TX
763,Secondary,TX
