ZIP3,PMF
189,0.001129535
190,0.003776132
191,0.005708758
193,0.001159576
194,0.001100496
195,0.000981334
196,0.000921252
197,0.001605181
198,0.000921252
199,0.001576142
200,0.002794798
201,0.003626929
206,0.001218656
207,0.003240404
208,0.001843505
209,0.000475646
210,0.002289111
211,0.001991707
212,0.003924333
214,0.000327445
215,0.000416566
216,0.000564768
217,0.001784425
218,0.000386525
219,0.000505687
220,0.00074301
221,0.001426939
222,0.000534727
223,0.000951293
224,0.000803091
225,0.000475646
226,0.000594808
227,0.000238324
228,0.000327445
229,0.000773051
230,0.001337818
231,0.00071397
232,0.001694303
233,0.000564768
234,0.002289111
235,0.000624849
236,0.001932626
237,0.000386525
238,0.001724343
239,0.000208283
240,0.000892213
241,0.000683929
242,0.000327445
243,0.000594808
244,0.000445606
245,0.00071397
246,0.000208283
247,0.000178242
249,0.000208283
250,0.000356484
251,0.000148201
252,0.000297404
253,0.000267363
254,0.000534727
255,0.000297404
256,0.000119162
257,0.000327445
258,0.000119162
259,8.91E-05
260,0.000445606
261,0.000505687
262,0.000267363
263,0.000119162
264,0.000238324
265,0.000653889
266,3.00E-05
268,0.000148201
270,0.000534727
271,0.000683929
272,0.001426939
273,0.000832131
274,0.001040414
275,0.004221737
276,0.001487021
277,0.000892213
278,0.001307777
279,0.00071397
280,0.002675636
281,0.00151606
282,0.002675636
283,0.002438314
284,0.001605181
285,0.001784425
286,0.001576142
287,0.001546101
288,0.000683929
289,0.000178242
290,0.000951293
291,0.000981334
292,0.000505687
293,0.001129535
294,0.003330526
295,0.0013979
296,0.003151283
297,0.000773051
298,0.000148201
299,0.00074301
300,0.007433102
301,0.00297304
302,0.002675636
303,0.00443002
304,0.000534727
305,0.00145698
306,0.001337818
307,0.000892213
308,0.000445606
309,0.000475646
310,0.000683929
312,0.000267363
313,0.000921252
314,0.000981334
315,0.001040414
316,0.000416566
317,0.000505687
318,0.000148201
319,0.000267363
320,0.002080828
321,0.0013979
322,0.003448687
323,0.000653889
324,0.001159576
325,0.001991707
326,0.001367859
327,0.00365697
328,0.004965748
329,0.001813464
330,0.006481809
331,0.007819627
333,0.002557476
334,0.005530516
335,0.002260071
336,0.002438314
337,0.001813464
338,0.002794798
339,0.002824839
341,0.000862172
342,0.001843505
344,0.001278738
346,0.001694303
347,0.004638303
349,0.001307777
350,0.001070455
351,0.000327445
352,0.00074301
354,0.000416566
355,3.00E-05
356,0.001011374
357,0.000386525
358,0.00071397
359,0.000624849
360,0.00074301
361,0.000862172
362,0.000178242
363,0.000148201
364,8.91E-05
365,0.000416566
366,0.000475646
367,0.000208283
368,0.000267363
369,3.00E-05
370,0.00439998
