zip3,pmf,market,state,units_2026,units_2026_conservative,units_2026_optimistic
068,0.0018134655976631917,Primary,CT,168.4346847109572,162.95076474362372,175.4854389546717
069,0.0003564843140626807,Primary,CT,33.11026309014178,32.03225452441623,34.49627410321748
070,0.008117038151110612,Primary,NJ,753.9105034751535,729.364580106195,785.4695478066716
071,0.0019626687291111502,Primary,NJ,182.2926715598436,176.35756132301148,189.92352757862776
072,0.0013378191786186963,Primary,NJ,124.25664531010449,120.21108011396156,129.458086276574
073,0.0009212528116237271,Primary,NJ,85.56596114361176,82.7800926412616,89.1477920752048
074,0.001218657073636882,Primary,NJ,113.18886899939358,109.50365000871564,117.92700770169377
075,0.0009512938380898713,Primary,NJ,88.35617168178723,85.47945911540347,92.05480212428066
076,0.002021749781161557,Primary,NJ,187.7801196742854,181.66634833605283,195.64068282344152
077,0.0022600729911243056,Primary,NJ,209.91557941562547,203.08111869046556,218.70274320511678
078,0.0011004969695378303,Primary,NJ,102.21415853067366,98.88625569479126,106.49289074823675
079,0.0007139706290081242,Primary,NJ,66.31359202227456,64.154544840154,69.08950982785815
080,0.004043498562322234,Primary,NJ,375.56014646848905,363.3326068160266,391.2812688787979
081,0.0007139706290081242,Primary,NJ,66.31359202227456,64.154544840154,69.08950982785815
082,0.0006538895760767165,Primary,NJ,60.73326382600543,58.75590174794943,63.2755864977917
083,0.0015160613356500368,Primary,NJ,140.8117768551754,136.22720737616967,146.70622332818274
084,0.00041656636699496935,Primary,NJ,38.690684166492744,37.43098747269996,40.31029420136919
085,0.0009212528116237271,Primary,NJ,85.56596114361176,82.7800926412616,89.1477920752048
086,0.0009813348645560157,Primary,NJ,91.14638221996272,88.17882558954533,94.9618121733565
087,0.001605182414165707,Primary,NJ,149.08934262771086,144.23527100727375,155.33029185398712
088,0.0036269321953272646,Primary,NJ,336.8694623019963,325.9016193433266,350.97097467742867
089,0.00026736323554701056,Primary,NJ,24.832697317606335,24.024190893312177,25.872205577413116
100,0.006630015841043957,Primary,NY,615.7958713161627,595.7467034128457,641.5733729061416
101,0.00029740426201315485,Primary,NY,27.62290785578182,26.72355736745404,28.779215626488963
103,0.003359568959780254,Primary,NY,312.03676498438995,301.87742845001446,325.09876910001555
104,0.006214450474930869,Primary,NY,577.198160111579,558.4056618753881,601.3599435581102
105,0.002051789807626821,Primary,NY,190.5702373323791,184.3656249541156,198.5475961044322
107,0.00044560639257923185,Primary,NY,41.38792174275905,40.04040801159945,43.1204393971071
108,0.0005056874455106396,Primary,NY,46.9682499390282,45.43905110380402,48.934362727173564
109,0.0021108708596772273,Primary,NY,196.05768544682084,189.6744119671569,204.2647513492459
110,0.00044560639257923185,Primary,NY,41.38792174275905,40.04040801159945,43.1204393971071
111,0.0015160613356500368,Primary,NY,140.8117768551754,136.22720737616967,146.70622332818274
112,0.008890089832169143,Primary,NY,825.7115436118698,798.8279119593903,860.2762128793435
113,0.0027647594357530633,Primary,NY,256.7908563927445,248.43022385902722,267.54024107895236
114,0.0024973962002060525,Primary,NY,231.95815907513813,224.406032965715,241.66803550153926
115,0.0026465993316540115,Primary,NY,245.81614592402454,237.81282954510283,256.10612412549534
116,0.00032744528847929914,Primary,NY,30.4131183939573,29.4229238415959,31.686225675564813
117,0.0051730345574434455,Primary,NY,480.47144969534713,464.8281931936382,500.5842080546873
118,0.00026736323554701056,Primary,NY,24.832697317606335,24.024190893312177,25.872205577413116
