zip3,market_type,fc,pmf_alloc,distance_bucket
236,Secondary,GA-303,0.0017393649323805,301-600
237,Secondary,GA-303,0.00034787280647592,301-600
238,Secondary,GA-303,0.00155191006723275,301-600
239,Primary,GA-303,0.00018745486514766,301-600
240,Secondary,GA-303,0.00080299240743627,301-600
241,Secondary,GA-303,0.00061553664228771,301-600
242,Secondary,GA-303,0.00029470075963128,151-300
243,Secondary,GA-303,0.0005353276716236699,151-300
244,Secondary,GA-303,0.00040104575332128,301-600
245,Primary,GA-303,0.0006425735661072901,301-600
246,Secondary,GA-303,0.00018745486514766,151-300
247,Secondary,GA-303,0.00016041794132817,301-600
249,Secondary,GA-303,0.00018745486514766,301-600
250,Secondary,GA-303,0.00032083588265634,301-600
251,Secondary,GA-303,0.00013338101750859,301-600
252,Secondary,GA-303,0.00026766383581179,301-600
253,Secondary,GA-303,0.0002406269119923,301-600
254,Primary,GA-303,0.00048125472398541,301-600
255,Secondary,GA-303,0.00026766383581179,301-600
256,Secondary,GA-303,0.00010724589448361999,301-600
257,Secondary,GA-303,0.00029470075963128,301-600
258,Secondary,GA-303,0.00010724589448361999,301-600
259,Secondary,GA-303,8.019007064745225e-05,301-600
260,Secondary,GA-303,0.00040104575332128,301-600
261,Secondary,GA-303,0.00045511870095954,301-600
262,Secondary,GA-303,0.0002406269119923,301-600
263,Secondary,GA-303,0.00010724589448361999,301-600
264,Secondary,GA-303,0.00021449178896723999,301-600
265,Secondary,GA-303,0.0005885006184690299,301-600
266,Secondary,GA-303,2.700002378702096e-05,301-600
268,Secondary,GA-303,0.00013338101750859,301-600
270,Secondary,GA-303,0.00048125472398541,151-300
271,Primary,GA-303,0.00061553664228771,151-300
272,Primary,GA-303,0.00128424623142087,151-300
273,Primary,GA-303,0.0007489185597972,301-600
274,Primary,GA-303,0.00093637342494495,301-600
275,Primary,GA-303,0.0037995666474181502,301-600
276,Primary,GA-303,0.00133832007905994,301-600
277,Primary,GA-303,0.00080299240743627,301-600
278,Primary,GA-303,0.00117700033693725,301-600
279,Secondary,GA-303,0.0006425735661072901,301-600
280,Secondary,GA-303,0.00240807452151357,151-300
281,Secondary,GA-303,0.001364455202085,151-300
282,Secondary,GA-303,0.00240807452151357,151-300
283,Primary,GA-303,0.00219448453334085,301-600
284,Secondary,GA-303,0.00144466417274913,301-600
285,Primary,GA-303,0.00160598391487182,301-600
286,Secondary,GA-303,0.0014185290497240699,151-300
287,Secondary,GA-303,0.00139149212590449,51-150
288,Secondary,GA-303,0.00061553664228771,151-300
289,Primary,GA-303,0.00016041794132817,51-150
290,Secondary,GA-303,0.0008561644542808201,151-300
291,Secondary,GA-303,0.0008832013781004001,151-300
292,Secondary,GA-303,0.00045511870095954,151-300
293,Secondary,GA-303,0.00101658239560908,151-300
294,Secondary,GA-303,0.00299747604077631,151-300
295,Secondary,GA-303,0.00125811110839581,151-300
296,Secondary,GA-303,0.0028361571986544303,51-150
297,Secondary,GA-303,0.0006957465129526501,151-300
298,Secondary,GA-303,0.00013338101750859,51-150
299,Secondary,GA-303,0.00066870958913307,151-300
300,Primary,GA-303,0.00668979769371174,<50
301,Primary,GA-303,0.00267573835732545,<50
302,Primary,GA-303,0.00240807452151357,<50
303,Primary,GA-303,0.0039870215125659,<50
304,Secondary,GA-303,0.00048125472398541,151-300
305,Primary,GA-303,0.0013112831552404502,<50
306,Primary,GA-303,0.00120403726075674,51-150
307,Primary,GA-303,0.00080299240743627,51-150
308,Secondary,GA-303,0.00040104575332128,51-150
309,Secondary,GA-303,0.00042808177713996005,51-150
310,Primary,GA-303,0.00061553664228771,51-150
