zip3,market_type,pmf_norm,preferred_fc,preferred_fc_zip3,preferred_fc_distance,preferred_bucket,fc_set,fc_count,cluster_id,lat,lon
74,Primary,0.0012186570736368,NY-134,134,154,151-300,['NY-134'],1,7,41.0592,-74.1322
75,Primary,0.0009512938380898,NY-134,134,163,151-300,['NY-134'],1,7,40.9125,-74.1653
76,Primary,0.0020217497811615,NY-134,134,167,151-300,['NY-134'],1,7,40.887,-74.0391
77,Primary,0.0022600729911243,NY-134,134,205,151-300,['NY-134'],1,7,40.3038,-73.9858
78,Primary,0.0011004969695378,NY-134,134,171,151-300,['NY-134'],1,7,40.672,-74.7507
79,Primary,0.0007139706290081,NY-134,134,218,151-300,['NY-134'],1,7,40.06206193,-74.22597178
80,Primary,0.0040434985623222,NY-134,134,260,151-300,['NY-134'],1,7,39.36192889,-74.75292026
81,Primary,0.0007139706290081,NY-134,134,219,151-300,['NY-134'],1,7,39.93994576,-75.10335695
82,Primary,0.0006538895760767,NY-134,134,279,151-300,['NY-134'],1,7,39.0817,-74.8214
83,Primary,0.00151606133565,NY-134,134,251,151-300,['NY-134'],1,7,39.47426061,-75.01237929
84,Primary,0.0004165663669949,NY-134,134,264,151-300,['NY-134'],1,7,39.3365,-74.4828
85,Primary,0.0009212528116237,NY-134,134,226,151-300,['NY-134'],1,7,39.89411341,-74.45477726
86,Primary,0.000981334864556,NY-134,134,201,151-300,['NY-134'],1,7,40.22932944,-74.72748806
87,Primary,0.0016051824141657,NY-134,134,220,151-300,['NY-134'],1,7,40.03073867,-74.191903
88,Primary,0.0036269321953272,NY-134,134,183,151-300,['NY-134'],1,7,40.53162924,-74.5131388
89,Primary,0.000267363235547,NY-134,134,186,151-300,['NY-134'],1,7,40.48942037,-74.44261806
100,Primary,0.0066300158410439,NY-134,134,177,151-300,['NY-134'],1,7,40.74525552,-73.98520233
101,Primary,0.0002974042620131,NY-134,134,177,151-300,['NY-134'],1,7,40.74727355,-73.9830577
