preferred_fc,market_type,distance_bucket,demand_share
AZ-852,Primary,301-600,0.0033896089862455172
AZ-852,Primary,601-1000,0.0
AZ-852,Primary,1001-1400,0.0
AZ-852,Primary,1401-1800,0.0
AZ-852,Primary,>1800,0.0
AZ-852,Secondary,<50,0.0
AZ-852,Secondary,51-150,0.0037160532738429344
AZ-852,Secondary,151-300,0.0020217487811606764
AZ-852,Secondary,301-600,0.003894296430875156
AZ-852,Secondary,601-1000,0.0
AZ-852,Secondary,1001-1400,0.0
AZ-852,Secondary,1401-1800,0.0
AZ-852,Secondary,>1800,0.0
AZ-852,Tertiary,<50,0.0
AZ-852,Tertiary,51-150,0.0
AZ-852,Tertiary,151-300,0.0
AZ-852,Tertiary,301-600,0.0
AZ-852,Tertiary,601-1000,0.0
AZ-852,Tertiary,1001-1400,0.0
AZ-852,Tertiary,1401-1800,0.0
AZ-852,Tertiary,>1800,0.0
CA-900,Primary,<50,0.04920791535217343
CA-900,Primary,51-150,0.01825582608338278
CA-900,Primary,151-300,0.010466233220751468
CA-900,Primary,301-600,0.0
CA-900,Primary,601-1000,0.0
CA-900,Primary,1001-1400,0.0
CA-900,Primary,1401-1800,0.0
CA-900,Primary,>1800,0.0
CA-900,Secondary,<50,0.0
CA-900,Secondary,51-150,0.013142871578869862
CA-900,Secondary,151-300,0.0
CA-900,Secondary,301-600,0.0
CA-900,Secondary,601-1000,0.0
CA-900,Secondary,1001-1400,0.0
CA-900,Secondary,1401-1800,0.0
CA-900,Secondary,>1800,0.0
CA-900,Tertiary,<50,0.0
CA-900,Tertiary,51-150,0.0
CA-900,Tertiary,151-300,0.0
CA-900,Tertiary,301-600,0.0
CA-900,Tertiary,601-1000,0.0
CA-900,Tertiary,1001-1400,0.0
CA-900,Tertiary,1401-1800,0.0
CA-900,Tertiary,>1800,0.0
CA-945,Primary,<50,0.019180081897652152
CA-945,Primary,51-150,0.012041376608452793
CA-945,Primary,151-300,0.0
CA-945,Primary,301-600,0.0
CA-945,Primary,601-1000,0.0
CA-945,Primary,1001-1400,0.0
CA-945,Primary,1401-1800,0.0
CA-945,Primary,>1800,0.0
CA-945,Secondary,<50,0.0
CA-945,Secondary,51-150,0.0046673471119328055
CA-945,Secondary,151-300,0.0051730345574434455
CA-945,Secondary,301-600,0.0011886160471707378
CA-945,Secondary,601-1000,0.0
CA-945,Secondary,1001-1400,0.0
CA-945,Secondary,1401-1800,0.0
CA-945,Secondary,>1800,0.0
CA-945,Tertiary,<50,0.0
CA-945,Tertiary,51-150,0.0
CA-945,Tertiary,151-300,0.0
CA-945,Tertiary,301-600,0.0
CA-945,Tertiary,601-1000,0.0
CA-945,Tertiary,1001-1400,0.0
CA-945,Tertiary,1401-1800,0.0
CA-945,Tertiary,>1800,0.0
