zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,distance_bucket
136,0.001367859,Secondary,NY,44.2923,-75.55557203,0.0013678602050848406,70,261,NJ-070,151-300
137,0.000416566,Secondary,NY,42.20430511,-75.71403139,0.00041656636699496935,70,135,NJ-070,51-150
138,0.00071397,Secondary,NY,42.31484412,-75.62288235,0.0007139706290081242,70,138,NJ-070,51-150
139,0.000327445,Secondary,NY,42.10401583,-75.90619784,0.00032744528847929914,70,136,NJ-070,51-150
140,0.001129535,Secondary,NY,42.83957564,-78.68910897,0.0011295359951212119,481,246,MI-481,151-300
141,0.001189617,Secondary,NY,42.89635879,-78.77738187,0.0011896180480535003,481,242,MI-481,151-300
142,0.002853878,Secondary,NY,42.90586967,-78.84116078,0.002853880514268733,481,239,MI-481,151-300
143,0.000267363,Secondary,NY,43.07818571,-79.01328036,0.00026736323554701056,481,233,MI-481,151-300
144,0.001100496,Secondary,NY,43.01512782,-77.55959839,0.0011004969695378303,70,241,NJ-070,151-300
145,0.000921252,Secondary,NY,43.02661111,-77.4711828,0.0009212528116237271,70,238,NJ-070,151-300
146,0.002616556,Secondary,NY,43.15380025,-77.61061104,0.002616558305187867,70,249,NJ-070,151-300
147,0.000803091,Secondary,NY,42.19690941,-78.9368995,0.0008030917075237944,481,232,MI-481,151-300
148,0.000803091,Secondary,NY,42.29343289,-76.99774497,0.0008030917075237944,70,187,NJ-070,151-300
149,0.000178242,Secondary,NY,42.09806724,-76.79182759,0.00017824215703134036,70,171,NJ-070,151-300
150,0.001040414,Secondary,PA,40.48827386,-80.06192407,0.0010404149166055416,481,215,MI-481,151-300
151,0.001576142,Secondary,PA,40.44208,-79.96457029,0.0015761433885823255,481,221,MI-481,151-300
152,0.002260071,Secondary,PA,40.44167781,-79.98308384,0.0022600729911243056,481,221,MI-481,151-300
153,0.000564768,Secondary,PA,40.12427185,-80.16128992,0.0005647684975610464,481,227,MI-481,151-300
154,0.000119162,Secondary,PA,39.95365,-79.74857363,0.0001191621049818145,481,251,MI-481,151-300
155,0.000267363,Secondary,PA,40.00922679,-78.83279464,0.00026736323554701056,70,253,NJ-070,151-300
156,0.00071397,Secondary,PA,40.33140295,-79.58745574,0.0007139706290081242,481,242,MI-481,151-300
157,0.000119162,Secondary,PA,40.69903272,-79.0433963,0.0001191621049818145,481,254,MI-481,151-300
158,0.000148201,Secondary,PA,41.23524105,-78.77409789,0.00014820113056519604,70,247,NJ-070,151-300
159,8.91e-05,Secondary,PA,40.35897235,-78.87375176,8.910007849716916e-05,70,251,NJ-070,151-300
160,0.000862172,Secondary,PA,40.87177742,-79.92391659,0.0008621727595742013,481,207,MI-481,151-300
161,0.000416566,Secondary,PA,41.119136,-80.3581008,0.00041656636699496935,481,179,MI-481,151-300
162,0.000178242,Secondary,PA,41.0390295,-79.41189353,0.00017824215703134036,481,226,MI-481,151-300
163,8.91e-05,Secondary,PA,41.56453208,-79.65535409,8.910007849716916e-05,481,202,MI-481,151-300
164,0.000238324,Secondary,PA,41.88696429,-79.99716071,0.000238324209963629,481,180,MI-481,151-300
165,0.000416566,Secondary,PA,42.11951227,-80.08246136,0.00041656636699496935,481,173,MI-481,151-300
166,0.000594808,Secondary,PA,40.5086,-78.33891137,0.0005948085240263097,70,222,NJ-070,151-300
168,0.000119162,Secondary,PA,40.89835472,-77.98498962,0.0001191621049818145,70,204,NJ-070,151-300
169,3e-05,Secondary,PA,41.82211053,-77.30583789,3.0000026430023288e-05,70,184,NJ-070,151-300
170,0.002378232,Primary,PA,40.3307,-76.94386764,0.002378234095224238,70,151,NJ-070,151-300
171,0.000653889,Primary,PA,40.26888145,-76.86055597,0.0006538895760767165,70,147,NJ-070,51-150
172,0.000624849,Primary,PA,39.96023529,-77.73703309,0.000624849550492454,70,197,NJ-070,151-300
173,0.001159576,Primary,PA,39.91429771,-76.83668211,0.0011595770215873562,70,153,NJ-070,151-300
174,0.000445606,Primary,PA,39.96253563,-76.721075,0.00044560639257923185,70,146,NJ-070,51-150
175,0.00074301,Primary,PA,40.0787199,-76.24097704,0.0007430106545923867,70,119,NJ-070,51-150
176,0.000832131,Primary,PA,40.04796608,-76.3200386,0.0008321317331080569,70,124,NJ-070,51-150
177,0.000803091,Secondary,PA,41.25440132,-77.08451711,0.0008030917075237944,70,161,NJ-070,151-300
178,0.000624849,Secondary,PA,40.91138511,-76.71143936,0.000624849550492454,70,137,NJ-070,51-150
179,0.000327445,Primary,PA,40.71563333,-76.21331714,0.00032744528847929914,70,110,NJ-070,51-150
180,0.002527435,Primary,PA,40.62422628,-75.41782569,0.002527437226672197,70,69,NJ-070,51-150
181,0.00071397,Primary,PA,40.58665963,-75.48004667,0.0007139706290081242,70,72,NJ-070,51-150
182,0.001011374,Primary,PA,40.91117327,-75.91078119,0.0010113748910212791,70,96,NJ-070,51-150
183,0.001100496,Primary,PA,41.04724939,-75.24029085,0.0011004969695378303,70,65,NJ-070,51-150
184,0.001278738,Primary,PA,41.53036893,-75.46419322,0.0012787391265691706,70,92,NJ-070,51-150
185,0.000416566,Primary,PA,41.39919606,-75.68046897,0.00041656636699496935,70,96,NJ-070,51-150
186,0.000327445,Secondary,PA,41.30784775,-75.94537416,0.00032744528847929914,70,105,NJ-070,51-150
187,0.000773051,Primary,PA,41.24694724,-75.88343681,0.000773051681058531,70,101,NJ-070,51-150
188,0.000208283,Secondary,PA,41.81512832,-76.12135487,0.00020828318349748467,70,131,NJ-070,51-150
189,0.001129535,Primary,PA,40.29460743,-75.13967883,0.0011295359951212119,70,60,NJ-070,51-150
190,0.003776132,Primary,PA,40.04971981,-75.19010931,0.003776135326775223,70,71,NJ-070,51-150
191,0.005708758,Primary,PA,39.98244557,-75.15100769,0.00570876302942023,70,72,NJ-070,51-150
193,0.001159576,Primary,PA,39.97870243,-75.61172708,0.0011595770215873562,70,92,NJ-070,51-150
194,0.001100496,Primary,PA,40.14909193,-75.36631969,0.0011004969695378303,70,75,NJ-070,51-150
195,0.000981334,Primary,PA,40.37234731,-75.82671183,0.0009813348645560157,70,92,NJ-070,51-150
196,0.000921252,Primary,PA,40.32961781,-75.9111668,0.0009212528116237271,70,97,NJ-070,51-150
197,0.001605181,Primary,DE,39.67063322,-75.65360909,0.001605182414165707,70,107,NJ-070,51-150
198,0.000921252,Primary,DE,39.74372985,-75.56226797,0.0009212528116237271,70,100,NJ-070,51-150
199,0.001576142,Primary,DE,38.88058095,-75.42778852,0.0015761433885823255,70,142,NJ-070,51-150
200,0.002794798,Primary,DC,38.91072436,-77.03283497,0.0027948004622192074,70,197,NJ-070,151-300
201,0.003626929,Primary,VA,38.90325843,-77.40995754,0.0036269321953272646,70,213,NJ-070,151-300
206,0.001218656,Primary,MD,38.52837802,-76.80524593,0.001218657073636882,70,206,NJ-070,151-300
207,0.003240404,Primary,MD,38.96671509,-76.8871367,0.0032404068547984394,70,188,NJ-070,151-300
208,0.001843505,Primary,MD,39.07738908,-77.13893504,0.001843506624129336,70,195,NJ-070,151-300
209,0.000475646,Primary,MD,39.0233881,-77.02748367,0.0004756464190444952,70,192,NJ-070,151-300
210,0.002289111,Primary,MD,39.29973353,-76.6165766,0.002289113016708568,70,163,NJ-070,151-300
211,0.001991707,Primary,MD,39.31982141,-76.66981463,0.001991708754695413,70,164,NJ-070,151-300
212,0.003924333,Primary,MD,39.30355192,-76.62872847,0.0039243364573404195,70,163,NJ-070,151-300
214,0.000327445,Primary,MD,38.9896406,-76.54905789,0.00032744528847929914,70,174,NJ-070,151-300
215,0.000416566,Secondary,MD,39.57773953,-78.96976628,0.00041656636699496935,275,259,NC-275,151-300
216,0.000564768,Primary,MD,38.86673676,-76.05069081,0.0005647684975610464,70,161,NJ-070,151-300
217,0.001784425,Primary,MD,39.44913587,-77.382995,0.0017844265720798102,70,193,NJ-070,151-300
218,0.000386525,Primary,MD,38.36056166,-75.58505389,0.000386525340528825,70,177,NJ-070,151-300
219,0.000505687,Primary,MD,39.56120375,-75.99228125,0.0005056874455106396,70,125,NJ-070,51-150
220,0.00074301,Primary,VA,38.86234783,-77.22257693,0.0007430106545923867,70,207,NJ-070,151-300
221,0.001426939,Primary,VA,38.83510377,-77.22143642,0.0014269402571343666,70,208,NJ-070,151-300
222,0.000534727,Primary,VA,38.88123443,-77.10090017,0.000534727471094902,70,201,NJ-070,151-300
223,0.000951293,Primary,VA,38.83112862,-77.1054273,0.0009512938380898713,70,203,NJ-070,151-300
224,0.000803091,Primary,VA,38.23108786,-77.30653931,0.0008030917075237944,275,181,NC-275,151-300
225,0.000475646,Primary,VA,38.15327143,-77.24898469,0.0004756464190444952,275,178,NC-275,151-300
226,0.000594808,Primary,VA,39.07277338,-78.19579286,0.0005948085240263097,275,225,NC-275,151-300
227,0.000238324,Primary,VA,38.45003061,-78.03821939,0.000238324209963629,275,184,NC-275,151-300
228,0.000327445,Secondary,VA,38.50563333,-78.81185,0.00032744528847929914,275,185,NC-275,151-300
229,0.000773051,Secondary,VA,38.04090567,-78.55812933,0.000773051681058531,275,153,NC-275,151-300
230,0.001337818,Secondary,VA,37.62949356,-77.41682772,0.0013378191786186963,275,141,NC-275,51-150
231,0.00071397,Secondary,VA,37.4998441,-77.22245983,0.0007139706290081242,275,139,NC-275,51-150
232,0.001694303,Secondary,VA,37.54388316,-77.47156195,0.0016943044926822583,275,135,NC-275,51-150
233,0.000564768,Secondary,VA,37.00132646,-76.13837831,0.0005647684975610464,275,161,NC-275,151-300
234,0.002289111,Secondary,VA,36.95177949,-76.19095487,0.002289113016708568,275,157,NC-275,151-300
235,0.000624849,Secondary,VA,36.86433079,-76.28011677,0.000624849550492454,275,149,NC-275,51-150
236,0.001932626,Secondary,VA,37.08132778,-76.46009571,0.0019326277026450061,275,149,NC-275,51-150
237,0.000386525,Secondary,VA,36.84195069,-76.31723889,0.000386525340528825,275,147,NC-275,51-150
238,0.001724343,Secondary,VA,37.14932953,-77.38776316,0.0017243445191475215,275,114,NC-275,51-150
239,0.000208283,Primary,VA,37.00231935,-78.31550242,0.00020828318349748467,275,83,NC-275,51-150
