zip3,preferred_fc,preferred_fc_zip3,preferred_fc_distance,distance_bucket,market_type,pmf,pmf_norm,lat,lon
138,GA-303,303,754,601-1000,Secondary,0.00071397,0.0007139706290081242,42.31484412,-75.62288235
139,GA-303,303,733,601-1000,Secondary,0.000327445,0.00032744528847929914,42.10401583,-75.90619784
140,GA-303,303,693,601-1000,Secondary,0.001129535,0.0011295359951212119,42.83957564,-78.68910897
141,GA-303,303,695,601-1000,Secondary,0.001189617,0.0011896180480535003,42.89635879,-78.77738187
142,GA-303,303,694,601-1000,Secondary,0.002853878,0.002853880514268733,42.90586967,-78.84116078
143,GA-303,303,700,601-1000,Secondary,0.000267363,0.00026736323554701056,43.07818571,-79.01328036
144,GA-303,303,733,601-1000,Secondary,0.001100496,0.0011004969695378303,43.01512782,-77.55959839
145,GA-303,303,736,601-1000,Secondary,0.000921252,0.0009212528116237271,43.02661111,-77.4711828
146,GA-303,303,739,601-1000,Secondary,0.002616556,0.002616558305187867,43.15380025,-77.61061104
147,GA-303,303,648,601-1000,Secondary,0.000803091,0.0008030917075237944,42.19690941,-78.9368995
148,GA-303,303,708,601-1000,Secondary,0.000803091,0.0008030917075237944,42.29343289,-76.99774497
149,GA-303,303,703,601-1000,Secondary,0.000178242,0.00017824215703134036,42.09806724,-76.79182759
150,GA-303,303,517,301-600,Secondary,0.001040414,0.0010404149166055416,40.48827386,-80.06192407
151,GA-303,303,516,301-600,Secondary,0.001576142,0.0015761433885823255,40.44208,-79.96457029
152,GA-303,303,516,301-600,Secondary,0.002260071,0.0022600729911243056,40.44167781,-79.98308384
153,GA-303,303,492,301-600,Secondary,0.000564768,0.0005647684975610464,40.12427185,-80.16128992
154,GA-303,303,493,301-600,Secondary,0.000119162,0.0001191621049818145,39.95365,-79.74857363
155,GA-303,303,524,301-600,Secondary,0.000267363,0.00026736323554701056,40.00922679,-78.83279464
156,GA-303,303,520,301-600,Secondary,0.00071397,0.0007139706290081242,40.33140295,-79.58745574
157,GA-303,303,557,301-600,Secondary,0.000119162,0.0001191621049818145,40.69903272,-79.0433963
158,GA-303,303,595,301-600,Secondary,0.000148201,0.00014820113056519604,41.23524105,-78.77409789
159,GA-303,303,542,301-600,Secondary,8.91e-05,8.910007849716916e-05,40.35897235,-78.87375176
160,GA-303,303,543,301-600,Secondary,0.000862172,0.0008621727595742013,40.87177742,-79.92391659
161,GA-303,303,549,301-600,Secondary,0.000416566,0.00041656636699496935,41.119136,-80.3581008
162,GA-303,303,567,301-600,Secondary,0.000178242,0.00017824215703134036,41.0390295,-79.41189353
163,GA-303,303,592,301-600,Secondary,8.91e-05,8.910007849716916e-05,41.56453208,-79.65535409
