preferred_fc,market_type,distance_bucket,demand_share,network
NC-275,Tertiary,301-600,0.0,15FC
NC-275,Tertiary,601-1000,0.0,15FC
NC-275,Tertiary,1001-1400,0.0,15FC
NC-275,Tertiary,1401-1800,0.0,15FC
NC-275,Tertiary,>1800,0.0,15FC
NJ-070,Primary,<50,0.07539953242698808,15FC
NJ-070,Primary,51-150,0.04947530258774158,15FC
NJ-070,Primary,151-300,0.03282163391585948,15FC
NJ-070,Primary,301-600,0.0,15FC
NJ-070,Primary,601-1000,0.0,15FC
NJ-070,Primary,1001-1400,0.0,15FC
NJ-070,Primary,1401-1800,0.0,15FC
NJ-070,Primary,>1800,0.0,15FC
NJ-070,Secondary,<50,0.0,15FC
NJ-070,Secondary,51-150,0.005056876455108157,15FC
NJ-070,Secondary,151-300,0.012786303264733177,15FC
NJ-070,Secondary,301-600,0.0,15FC
NJ-070,Secondary,601-1000,0.0,15FC
NJ-070,Secondary,1001-1400,0.0,15FC
NJ-070,Secondary,1401-1800,0.0,15FC
NJ-070,Secondary,>1800,0.0,15FC
NJ-070,Tertiary,<50,0.0,15FC
NJ-070,Tertiary,51-150,0.0,15FC
NJ-070,Tertiary,151-300,0.0,15FC
NJ-070,Tertiary,301-600,0.0,15FC
NJ-070,Tertiary,601-1000,0.0,15FC
NJ-070,Tertiary,1001-1400,0.0,15FC
NJ-070,Tertiary,1401-1800,0.0,15FC
NJ-070,Tertiary,>1800,0.0,15FC
TX-750,Primary,<50,0.01685892685271456,15FC
TX-750,Primary,51-150,0.002319111043136829,15FC
TX-750,Primary,151-300,0.00871184667513692,15FC
TX-750,Primary,301-600,0.0,15FC
TX-750,Primary,601-1000,0.0,15FC
TX-750,Primary,1001-1400,0.0,15FC
TX-750,Primary,1401-1800,0.0,15FC
TX-750,Primary,>1800,0.0,15FC
TX-750,Secondary,<50,0.0,15FC
TX-750,Secondary,51-150,0.002616558305187867,15FC
TX-750,Secondary,151-300,0.008442477437822624,15FC
TX-750,Secondary,301-600,0.011894171478765075,15FC
TX-750,Secondary,601-1000,0.0,15FC
TX-750,Secondary,1001-1400,0.0,15FC
TX-750,Secondary,1401-1800,0.0,15FC
TX-750,Secondary,>1800,0.0,15FC
TX-750,Tertiary,<50,0.0,15FC
TX-750,Tertiary,51-150,0.0,15FC
TX-750,Tertiary,151-300,0.0,15FC
TX-750,Tertiary,301-600,0.0,15FC
TX-750,Tertiary,601-1000,0.0,15FC
TX-750,Tertiary,1001-1400,0.0,15FC
TX-750,Tertiary,1401-1800,0.0,15FC
TX-750,Tertiary,>1800,0.0,15FC
TX-770,Primary,<50,0.015906631013741925,15FC
TX-770,Primary,51-150,0.007492167600599657,15FC
TX-770,Primary,151-300,0.007195786339487766,15FC
TX-770,Primary,301-600,0.0,15FC
TX-770,Primary,601-1000,0.0,15FC
TX-770,Primary,1001-1400,0.0,15FC
TX-770,Primary,1401-1800,0.0,15FC
TX-770,Primary,>1800,0.0,15FC
TX-770,Secondary,<50,0.0,15FC
TX-770,Secondary,51-150,0.0014870223100666552,15FC
TX-770,Secondary,151-300,0.009127412041250008,15FC
TX-770,Secondary,301-600,0.0,15FC
TX-770,Secondary,601-1000,0.0,15FC
TX-770,Secondary,1001-1400,0.0,15FC
TX-770,Secondary,1401-1800,0.0,15FC
TX-770,Secondary,>1800,0.0,15FC
TX-770,Tertiary,<50,0.0,15FC
TX-770,Tertiary,51-150,0.0,15FC
TX-770,Tertiary,151-300,0.0,15FC
TX-770,Tertiary,301-600,0.004756467190447595,15FC
TX-770,Tertiary,601-1000,0.0,15FC
TX-770,Tertiary,1001-1400,0.0,15FC
TX-770,Tertiary,1401-1800,0.0,15FC
TX-770,Tertiary,>1800,0.0,15FC
UT-841,Primary,<50,0.009276615172697967,15FC
UT-841,Primary,51-150,0.0005056874455106396,15FC
UT-841,Primary,151-300,0.0021709519126086353,15FC
UT-841,Primary,301-600,0.002349173069621475,15FC
UT-841,Primary,601-1000,0.0,15FC
UT-841,Primary,1001-1400,0.0,15FC
UT-841,Primary,1401-1800,0.0,15FC
UT-841,Primary,>1800,0.0,15FC
UT-841,Secondary,<50,0.0,15FC
UT-841,Secondary,51-150,0.00014916213141183778,15FC
UT-841,Secondary,151-300,0.0027958014631010893,15FC
UT-841,Secondary,301-600,0.000773051681058531,15FC
UT-841,Secondary,601-1000,0.0,15FC
UT-841,Secondary,1001-1400,0.0,15FC
UT-841,Secondary,1401-1800,0.0,15FC
UT-841,Secondary,>1800,0.0,15FC
UT-841,Tertiary,<50,0.0,15FC
UT-841,Tertiary,51-150,0.0,15FC
UT-841,Tertiary,151-300,0.0,15FC
UT-841,Tertiary,301-600,0.0009212108115867251,15FC
UT-841,Tertiary,601-1000,0.0,15FC
UT-841,Tertiary,1001-1400,0.0,15FC
UT-841,Tertiary,1401-1800,0.0,15FC
UT-841,Tertiary,>1800,0.0,15FC
WA-980,Primary,<50,0.013290072708554057,15FC
WA-980,Primary,51-150,0.010377112142235797,15FC
WA-980,Primary,151-300,0.0013678602050848406,15FC
WA-980,Primary,301-600,0.0,15FC
WA-980,Primary,601-1000,0.0,15FC
WA-980,Primary,1001-1400,0.0,15FC
WA-980,Primary,1401-1800,0.0,15FC
WA-980,Primary,>1800,0.0,15FC
WA-980,Secondary,<50,0.0,15FC
WA-980,Secondary,51-150,0.0017243445191475215,15FC
WA-980,Secondary,151-300,0.005203055583891969,15FC
WA-980,Secondary,301-600,0.0008030917075237944,15FC
WA-980,Secondary,601-1000,0.0,15FC
WA-980,Secondary,1001-1400,0.0,15FC
WA-980,Secondary,1401-1800,0.0,15FC
WA-980,Secondary,>1800,0.0,15FC
WA-980,Tertiary,<50,0.0,15FC
WA-980,Tertiary,51-150,0.0,15FC
WA-980,Tertiary,151-300,0.0,15FC
WA-980,Tertiary,301-600,0.00020828318349748467,15FC
WA-980,Tertiary,601-1000,0.0,15FC
WA-980,Tertiary,1001-1400,0.0,15FC
WA-980,Tertiary,1401-1800,0.0,15FC
WA-980,Tertiary,>1800,0.0,15FC
